Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
China,2015.0,Phishing,Government,42.73,310574.0,Nation-state,Zero-day,Firewall,65.0
India,2024.0,DDoS,Education,73.37,475719.0,Nation-state,,Firewall,52.0
UK,2018.0,Malware,Retail,73.18,404060.0,Unknown,Weak Passwords,Antivirus,32.0
China,2024.0,Malware,Education,72.35,132726.0,Hacker Group,Zero-day,Firewall,55.0
UK,2016.0,DDoS,Banking,87.68,336376.0,Nation-state,Social Engineering,Firewall,11.0
Australia,2022.0,Malware,Healthcare,67.16,566437.0,Unknown,Weak Passwords,Encryption,
Russia,2017.0,Man-in-the-Middle,Education,83.43,313631.0,Nation-state,Weak Passwords,Antivirus,16.0
France,2016.0,DDoS,,28.66,996004.0,Unknown,Zero-day,VPN,28.0
China,2021.0,Phishing,Healthcare,55.04,871600.0,Insider,,Firewall,29.0
Brazil,2015.0,DDoS,IT,43.51,940656.0,Unknown,Weak Passwords,AI-based Detection,41.0
USA,2015.0,Ransomware,Telecommunications,20.73,297209.0,Nation-state,Social Engineering,Firewall,66.0
UK,2019.0,Phishing,IT,78.19,28321.0,Insider,,Antivirus,63.0
Brazil,2022.0,Phishing,Telecommunications,29.02,456783.0,Nation-state,Zero-day,Encryption,10.0
Germany,2018.0,Ransomware,Banking,87.56,933028.0,Nation-state,Unpatched Software,VPN,25.0
,2023.0,Phishing,Telecommunications,,221512.0,Nation-state,Zero-day,AI-based Detection,56.0
France,2017.0,Phishing,Banking,17.88,16585.0,Hacker Group,Unpatched Software,Encryption,12.0
USA,2022.0,Ransomware,Education,21.01,787752.0,Nation-state,Weak Passwords,Antivirus,9.0
Russia,2022.0,SQL Injection,Banking,60.25,662517.0,Unknown,Social Engineering,Firewall,40.0
Brazil,2018.0,Malware,Education,6.63,274509.0,Hacker Group,Zero-day,Encryption,20.0
France,2024.0,Phishing,Government,5.8,508649.0,Hacker Group,Unpatched Software,Firewall,66.0
Brazil,2021.0,DDoS,IT,70.26,740257.0,Unknown,Weak Passwords,Encryption,70.0
Australia,2024.0,Malware,Healthcare,62.08,969504.0,Hacker Group,Social Engineering,AI-based Detection,5.0
Germany,2016.0,Man-in-the-Middle,Healthcare,,779494.0,Nation-state,,AI-based Detection,
Japan,2019.0,Malware,Banking,44.17,605166.0,Insider,Weak Passwords,Encryption,27.0
France,2023.0,Malware,Government,55.18,274946.0,Insider,Zero-day,Encryption,66.0
Japan,2019.0,Man-in-the-Middle,,41.32,645097.0,Nation-state,Zero-day,Firewall,36.0
UK,2015.0,DDoS,Telecommunications,32.92,157678.0,Nation-state,Unpatched Software,Antivirus,68.0
Brazil,2022.0,DDoS,Retail,15.16,157034.0,Nation-state,Social Engineering,AI-based Detection,69.0
India,2020.0,SQL Injection,Education,62.5,550656.0,Nation-state,Weak Passwords,Encryption,4.0
Australia,2017.0,SQL Injection,Healthcare,68.91,634048.0,Hacker Group,Unpatched Software,Firewall,66.0
UK,2023.0,DDoS,Banking,81.26,547495.0,Nation-state,Weak Passwords,AI-based Detection,3.0
UK,2024.0,DDoS,Healthcare,58.31,487694.0,Hacker Group,Weak Passwords,Antivirus,41.0
France,2023.0,Man-in-the-Middle,Retail,88.65,427067.0,Hacker Group,Unpatched Software,Antivirus,42.0
Australia,2023.0,Malware,Telecommunications,1.51,954902.0,,Unpatched Software,AI-based Detection,55.0
UK,2020.0,Ransomware,Banking,49.23,128594.0,Nation-state,Weak Passwords,Firewall,53.0
Germany,2024.0,Phishing,Healthcare,84.53,189430.0,Nation-state,Social Engineering,Firewall,1.0
France,2021.0,DDoS,Healthcare,90.63,603327.0,Nation-state,Unpatched Software,AI-based Detection,15.0
,2021.0,DDoS,Education,80.26,276593.0,Nation-state,Social Engineering,Encryption,36.0
Japan,2023.0,Malware,Education,22.87,,Insider,Unpatched Software,Firewall,49.0
India,2018.0,Ransomware,Retail,23.79,486810.0,Hacker Group,Unpatched Software,Antivirus,11.0
Japan,,,IT,35.43,969517.0,Hacker Group,Weak Passwords,Firewall,25.0
Australia,2022.0,Malware,Banking,74.77,151599.0,Insider,Zero-day,Encryption,18.0
Japan,2022.0,SQL Injection,IT,66.66,749545.0,Unknown,Social Engineering,AI-based Detection,30.0
Brazil,2015.0,Malware,Retail,78.13,71743.0,Hacker Group,Unpatched Software,VPN,35.0
Germany,2018.0,Phishing,Banking,11.39,969684.0,Hacker Group,Weak Passwords,Antivirus,41.0
Germany,2020.0,SQL Injection,Education,87.84,842506.0,Unknown,Weak Passwords,Antivirus,19.0
Brazil,2023.0,Man-in-the-Middle,IT,10.18,933883.0,Nation-state,Social Engineering,Encryption,41.0
UK,2019.0,Malware,Education,4.42,393748.0,Nation-state,Unpatched Software,AI-based Detection,10.0
Brazil,2020.0,DDoS,Banking,76.98,708549.0,Unknown,Weak Passwords,Encryption,37.0
Japan,2020.0,DDoS,Healthcare,73.24,136762.0,,Zero-day,VPN,41.0
Russia,2018.0,Malware,Telecommunications,8.11,737958.0,Unknown,Social Engineering,VPN,35.0
Japan,2020.0,Man-in-the-Middle,Banking,23.55,108886.0,Insider,Unpatched Software,Antivirus,51.0
Australia,2016.0,Phishing,Banking,92.79,285311.0,Nation-state,Unpatched Software,VPN,55.0
USA,2021.0,Malware,Retail,71.11,961868.0,Hacker Group,Unpatched Software,Antivirus,57.0
Australia,2023.0,Man-in-the-Middle,Banking,57.34,471743.0,Unknown,Zero-day,Firewall,29.0
UK,2024.0,Phishing,Government,81.26,993903.0,Unknown,,Firewall,25.0
China,2024.0,Ransomware,Telecommunications,7.32,179156.0,Nation-state,Social Engineering,AI-based Detection,34.0
Germany,2022.0,Man-in-the-Middle,Healthcare,56.27,699129.0,Nation-state,Unpatched Software,Encryption,25.0
,2021.0,Malware,IT,83.76,,Insider,Social Engineering,Encryption,24.0
UK,2023.0,SQL Injection,Banking,85.64,875790.0,Nation-state,Unpatched Software,Firewall,36.0
Russia,2016.0,Malware,Retail,61.39,415274.0,Hacker Group,Weak Passwords,Encryption,40.0
Russia,2023.0,Ransomware,Banking,42.14,222293.0,Hacker Group,Social Engineering,VPN,38.0
France,2021.0,Man-in-the-Middle,Retail,94.4,357092.0,Unknown,Unpatched Software,VPN,71.0
Australia,2021.0,Malware,Telecommunications,84.68,708291.0,Hacker Group,Zero-day,AI-based Detection,54.0
Russia,2024.0,Malware,Banking,93.33,517610.0,Nation-state,Social Engineering,Firewall,35.0
Germany,2023.0,Malware,Government,70.46,368803.0,,Unpatched Software,VPN,23.0
China,2023.0,Man-in-the-Middle,Healthcare,48.71,421191.0,Nation-state,Unpatched Software,Firewall,62.0
India,2018.0,Phishing,IT,69.03,282139.0,Hacker Group,Unpatched Software,Encryption,37.0
China,2018.0,Malware,IT,49.19,117543.0,Insider,Social Engineering,Encryption,22.0
France,2016.0,Phishing,Government,27.2,536925.0,Unknown,Zero-day,Encryption,62.0
France,,Ransomware,Retail,64.08,238068.0,Unknown,Unpatched Software,VPN,61.0
Japan,2022.0,,Telecommunications,38.46,39814.0,Insider,Social Engineering,VPN,32.0
India,2018.0,DDoS,Government,80.89,268956.0,Nation-state,Zero-day,Antivirus,47.0
France,2015.0,Malware,Education,15.76,424.0,Nation-state,Unpatched Software,Antivirus,58.0
USA,2021.0,SQL Injection,Telecommunications,82.24,982969.0,Unknown,Unpatched Software,Encryption,64.0
Germany,2021.0,Malware,Government,82.72,219703.0,Nation-state,Social Engineering,Firewall,33.0
Japan,2016.0,Man-in-the-Middle,Retail,18.96,530947.0,Nation-state,Unpatched Software,VPN,12.0
UK,2017.0,SQL Injection,IT,53.39,576110.0,Insider,Unpatched Software,Antivirus,37.0
UK,2017.0,Man-in-the-Middle,Government,48.9,177154.0,Unknown,Zero-day,Antivirus,68.0
France,2017.0,SQL Injection,Healthcare,60.77,212177.0,Hacker Group,Social Engineering,Encryption,2.0
Germany,2021.0,DDoS,Banking,91.24,8787.0,Hacker Group,Unpatched Software,Encryption,55.0
USA,2015.0,,Education,41.36,291727.0,Insider,Social Engineering,Encryption,31.0
Germany,2022.0,DDoS,IT,78.18,987652.0,Hacker Group,Social Engineering,VPN,72.0
China,2022.0,Ransomware,Telecommunications,16.16,236284.0,Unknown,Social Engineering,Antivirus,38.0
USA,2020.0,Man-in-the-Middle,Telecommunications,15.63,209853.0,Nation-state,Zero-day,VPN,1.0
Australia,2020.0,DDoS,Retail,36.29,755621.0,Unknown,Zero-day,Antivirus,50.0
France,2015.0,SQL Injection,Retail,61.41,694844.0,Insider,Unpatched Software,Antivirus,43.0
France,2018.0,SQL Injection,Retail,53.72,795831.0,Nation-state,,Encryption,61.0
Brazil,2020.0,DDoS,Retail,17.4,342253.0,Unknown,Weak Passwords,Encryption,22.0
USA,2016.0,Phishing,Retail,75.94,638693.0,Nation-state,,AI-based Detection,35.0
USA,2018.0,Phishing,Banking,55.9,618616.0,Insider,Zero-day,VPN,51.0
Brazil,2023.0,SQL Injection,Retail,56.76,774426.0,Hacker Group,Social Engineering,AI-based Detection,21.0
Australia,2023.0,DDoS,Government,76.25,900661.0,Insider,Unpatched Software,Encryption,64.0
,2019.0,Phishing,Telecommunications,75.23,141627.0,Insider,Unpatched Software,AI-based Detection,64.0
Germany,2024.0,Phishing,IT,3.93,845785.0,Unknown,Unpatched Software,VPN,69.0
Australia,2015.0,Malware,Retail,99.41,120048.0,Insider,Zero-day,Antivirus,12.0
USA,2016.0,Malware,Retail,32.89,894935.0,Unknown,Social Engineering,AI-based Detection,31.0
Japan,2017.0,SQL Injection,Healthcare,21.66,277555.0,Unknown,Social Engineering,AI-based Detection,45.0
Australia,2024.0,Ransomware,Education,85.86,461012.0,Insider,Unpatched Software,AI-based Detection,38.0
Russia,2021.0,SQL Injection,Telecommunications,80.23,599291.0,Nation-state,Social Engineering,Firewall,55.0
Australia,2016.0,Man-in-the-Middle,Government,31.92,163602.0,Hacker Group,Unpatched Software,,26.0
UK,2021.0,SQL Injection,,39.03,986196.0,Nation-state,Weak Passwords,Encryption,11.0
France,2024.0,Ransomware,Retail,99.03,349008.0,Nation-state,Zero-day,Encryption,20.0
Germany,2022.0,SQL Injection,Retail,25.1,559667.0,Unknown,Zero-day,Antivirus,69.0
Russia,2018.0,DDoS,Healthcare,67.27,335628.0,Hacker Group,Weak Passwords,Antivirus,20.0
Germany,2016.0,Ransomware,Education,29.89,385363.0,Unknown,Unpatched Software,Firewall,22.0
USA,2021.0,Man-in-the-Middle,Education,15.92,945793.0,Insider,Zero-day,Firewall,32.0
Russia,2016.0,SQL Injection,Telecommunications,,595950.0,Nation-state,Social Engineering,AI-based Detection,11.0
,2022.0,DDoS,Education,12.61,756722.0,Nation-state,Weak Passwords,VPN,15.0
Australia,2024.0,Ransomware,Government,39.92,594424.0,Hacker Group,Social Engineering,Antivirus,54.0
China,2015.0,Malware,Retail,19.36,457790.0,Hacker Group,Zero-day,Encryption,39.0
China,2024.0,Ransomware,Telecommunications,70.47,549337.0,Unknown,Social Engineering,Antivirus,63.0
France,2023.0,,Healthcare,53.34,714681.0,Unknown,Unpatched Software,Firewall,34.0
India,2022.0,Malware,Government,,849745.0,Hacker Group,Social Engineering,Antivirus,51.0
Brazil,2019.0,SQL Injection,Banking,27.64,826256.0,Nation-state,Zero-day,VPN,50.0
UK,2017.0,DDoS,IT,9.01,617543.0,Unknown,Zero-day,Antivirus,43.0
USA,2017.0,SQL Injection,Banking,9.08,895507.0,Unknown,Social Engineering,AI-based Detection,52.0
UK,2020.0,SQL Injection,Healthcare,67.9,2233.0,Unknown,Social Engineering,Antivirus,45.0
Japan,2022.0,Phishing,Government,71.12,76776.0,Unknown,Unpatched Software,Firewall,42.0
China,2019.0,Ransomware,Retail,6.08,175261.0,Nation-state,Zero-day,VPN,64.0
Australia,2016.0,Man-in-the-Middle,Healthcare,90.85,746369.0,Insider,Unpatched Software,Antivirus,30.0
Australia,2017.0,Malware,Healthcare,77.32,563706.0,Nation-state,Unpatched Software,AI-based Detection,35.0
India,2022.0,DDoS,Healthcare,12.01,254980.0,Insider,Unpatched Software,AI-based Detection,58.0
Russia,2021.0,Malware,Education,,869574.0,Unknown,Unpatched Software,Antivirus,16.0
Russia,2015.0,Malware,IT,95.33,282598.0,Unknown,Zero-day,VPN,21.0
Brazil,2023.0,Malware,Telecommunications,62.77,422623.0,Nation-state,Zero-day,AI-based Detection,55.0
Brazil,2021.0,Malware,Healthcare,83.06,,Unknown,Unpatched Software,Encryption,56.0
India,2021.0,Man-in-the-Middle,Telecommunications,71.64,,Insider,Social Engineering,VPN,39.0
Australia,2019.0,Man-in-the-Middle,Banking,47.67,112313.0,Insider,Social Engineering,Firewall,63.0
Australia,2017.0,Man-in-the-Middle,Telecommunications,79.72,799971.0,Insider,Zero-day,Firewall,63.0
Japan,2018.0,Man-in-the-Middle,Retail,47.11,690595.0,Hacker Group,Social Engineering,Antivirus,71.0
India,2017.0,Man-in-the-Middle,Government,69.69,713419.0,Hacker Group,Unpatched Software,AI-based Detection,70.0
Australia,2022.0,Man-in-the-Middle,Healthcare,81.31,707365.0,Hacker Group,Zero-day,Antivirus,38.0
Brazil,2016.0,Malware,,83.88,155059.0,Unknown,Unpatched Software,Antivirus,29.0
Russia,2022.0,Phishing,Banking,85.01,923558.0,Insider,Weak Passwords,Encryption,41.0
Germany,2022.0,DDoS,Telecommunications,20.55,,Nation-state,Social Engineering,AI-based Detection,6.0
Russia,2023.0,Ransomware,Telecommunications,60.08,874485.0,Hacker Group,Weak Passwords,Antivirus,48.0
Russia,2016.0,SQL Injection,Healthcare,46.95,90895.0,Unknown,Social Engineering,VPN,29.0
China,2015.0,Man-in-the-Middle,Retail,47.2,529593.0,Hacker Group,Zero-day,VPN,64.0
Germany,2018.0,Phishing,Government,46.92,610201.0,Nation-state,Weak Passwords,VPN,72.0
USA,2021.0,DDoS,Telecommunications,1.98,863623.0,Hacker Group,Weak Passwords,Firewall,24.0
USA,2018.0,Malware,Healthcare,14.28,755771.0,Insider,Weak Passwords,Antivirus,44.0
Japan,2021.0,SQL Injection,Telecommunications,66.23,164032.0,Unknown,Social Engineering,Firewall,5.0
,2019.0,Man-in-the-Middle,Telecommunications,95.66,259993.0,Nation-state,Weak Passwords,Antivirus,58.0
UK,2019.0,Phishing,Retail,90.13,232359.0,Unknown,Social Engineering,Firewall,17.0
,2018.0,,Telecommunications,84.9,800031.0,Unknown,Unpatched Software,Encryption,10.0
UK,2016.0,Phishing,Healthcare,71.19,925040.0,Unknown,Unpatched Software,Encryption,48.0
Brazil,2016.0,Malware,IT,99.29,273469.0,Insider,Social Engineering,AI-based Detection,67.0
Germany,2024.0,Malware,Banking,22.84,797768.0,Insider,Zero-day,Firewall,58.0
Japan,,DDoS,Education,82.19,905203.0,Hacker Group,Weak Passwords,Antivirus,37.0
India,2023.0,Phishing,Telecommunications,11.72,512291.0,Insider,Zero-day,AI-based Detection,51.0
UK,2017.0,Phishing,Telecommunications,27.08,416833.0,Insider,Social Engineering,VPN,9.0
UK,2015.0,,Government,30.74,744505.0,Nation-state,Unpatched Software,Antivirus,43.0
Brazil,2020.0,Malware,Banking,79.61,755029.0,Nation-state,Weak Passwords,Firewall,
Brazil,2017.0,Malware,Banking,99.22,660182.0,Insider,Weak Passwords,AI-based Detection,21.0
India,2016.0,Ransomware,Retail,29.48,403737.0,Insider,Zero-day,Firewall,26.0
China,2019.0,DDoS,Retail,7.87,,Nation-state,Weak Passwords,Antivirus,12.0
Australia,2022.0,DDoS,Telecommunications,,390083.0,Nation-state,Social Engineering,VPN,72.0
Brazil,2023.0,Man-in-the-Middle,Banking,20.15,376174.0,Unknown,Social Engineering,Firewall,43.0
UK,2022.0,Ransomware,Government,31.94,485080.0,Insider,Weak Passwords,Antivirus,61.0
France,2024.0,Ransomware,Banking,78.82,759804.0,Unknown,Unpatched Software,AI-based Detection,47.0
Japan,2017.0,Phishing,IT,65.62,,Hacker Group,Zero-day,Firewall,57.0
USA,2017.0,Malware,IT,75.53,992377.0,Nation-state,Unpatched Software,Antivirus,33.0
USA,2021.0,Man-in-the-Middle,Education,36.06,48987.0,Unknown,Zero-day,VPN,58.0
Russia,2021.0,SQL Injection,Telecommunications,68.07,538602.0,Insider,Unpatched Software,,
Japan,2015.0,Malware,,26.29,808392.0,Hacker Group,Weak Passwords,AI-based Detection,4.0
UK,2015.0,Ransomware,IT,26.12,21580.0,Unknown,Weak Passwords,AI-based Detection,14.0
France,2020.0,Phishing,Government,94.44,,,Zero-day,,11.0
Japan,2017.0,Man-in-the-Middle,Retail,74.12,559889.0,Nation-state,Zero-day,VPN,10.0
France,2015.0,SQL Injection,Government,12.92,344516.0,Insider,Zero-day,VPN,28.0
Australia,2024.0,Phishing,Retail,73.43,,Hacker Group,Social Engineering,AI-based Detection,66.0
Australia,2023.0,SQL Injection,Healthcare,99.19,538688.0,Nation-state,Zero-day,Encryption,36.0
China,2015.0,DDoS,Government,22.71,303975.0,,Social Engineering,Firewall,2.0
Japan,2022.0,SQL Injection,Telecommunications,67.62,822256.0,Insider,Unpatched Software,Firewall,60.0
Russia,2019.0,Man-in-the-Middle,Healthcare,53.82,521877.0,Unknown,Zero-day,Encryption,66.0
Brazil,2016.0,SQL Injection,Education,55.83,758258.0,Unknown,Zero-day,Encryption,44.0
Brazil,2016.0,DDoS,IT,17.12,988369.0,Hacker Group,Weak Passwords,AI-based Detection,26.0
France,2022.0,Malware,Healthcare,67.89,325521.0,Hacker Group,Social Engineering,VPN,69.0
Germany,2021.0,Ransomware,IT,5.54,254933.0,Nation-state,Social Engineering,AI-based Detection,41.0
UK,2023.0,DDoS,Government,55.28,339144.0,,Unpatched Software,VPN,26.0
India,2022.0,Ransomware,Education,57.52,170002.0,Unknown,Unpatched Software,AI-based Detection,54.0
Japan,2019.0,DDoS,Government,74.65,491269.0,Nation-state,Zero-day,Firewall,67.0
China,2019.0,Phishing,Banking,49.14,341100.0,Insider,Social Engineering,,
India,2018.0,DDoS,Government,36.04,446170.0,Insider,Unpatched Software,VPN,72.0
India,2015.0,Malware,Telecommunications,14.09,28398.0,Insider,Zero-day,Encryption,22.0
France,2017.0,Ransomware,Telecommunications,66.36,180698.0,Hacker Group,Zero-day,Encryption,53.0
Germany,2017.0,Malware,Healthcare,8.53,676384.0,Unknown,Social Engineering,VPN,44.0
Brazil,2015.0,Ransomware,Healthcare,61.91,961557.0,Insider,Unpatched Software,Firewall,64.0
Japan,2020.0,Phishing,Education,54.47,345334.0,Hacker Group,Weak Passwords,Antivirus,25.0
Russia,2024.0,Phishing,Education,87.88,263407.0,Nation-state,Zero-day,Antivirus,8.0
,2017.0,Phishing,IT,89.22,791350.0,Nation-state,Social Engineering,Antivirus,32.0
China,2022.0,Ransomware,Telecommunications,64.92,591819.0,Unknown,Zero-day,Antivirus,49.0
UK,2016.0,SQL Injection,IT,6.59,186612.0,Unknown,Unpatched Software,Antivirus,30.0
Japan,2018.0,Ransomware,,48.0,187730.0,Nation-state,Weak Passwords,AI-based Detection,26.0
France,2015.0,SQL Injection,IT,87.78,6456.0,Hacker Group,Social Engineering,Firewall,69.0
Japan,2020.0,Malware,Banking,15.73,762662.0,Hacker Group,Zero-day,Firewall,56.0
UK,2015.0,Phishing,IT,30.26,256396.0,Hacker Group,Zero-day,Encryption,29.0
Brazil,2021.0,SQL Injection,Healthcare,54.59,437634.0,Unknown,Weak Passwords,AI-based Detection,29.0
Russia,2015.0,Malware,Healthcare,63.09,80855.0,Nation-state,Zero-day,AI-based Detection,53.0
India,2016.0,Phishing,Retail,59.36,967614.0,Nation-state,Unpatched Software,AI-based Detection,71.0
Japan,2020.0,Ransomware,IT,79.52,934400.0,Unknown,Social Engineering,VPN,4.0
Germany,2023.0,Man-in-the-Middle,Telecommunications,87.83,547719.0,Unknown,Weak Passwords,AI-based Detection,22.0
China,2016.0,Malware,Healthcare,96.63,808984.0,Unknown,Weak Passwords,Firewall,26.0
Japan,2023.0,Ransomware,Banking,52.86,261038.0,Nation-state,Social Engineering,Encryption,48.0
China,2024.0,Phishing,Education,4.01,841054.0,Insider,Zero-day,Antivirus,49.0
China,2019.0,Ransomware,IT,68.02,175038.0,Hacker Group,Weak Passwords,VPN,67.0
Russia,2022.0,Phishing,Retail,67.17,774613.0,Hacker Group,Weak Passwords,Encryption,53.0
,2021.0,Phishing,Healthcare,37.45,558357.0,Hacker Group,Weak Passwords,VPN,49.0
India,2017.0,Phishing,Retail,36.78,620056.0,,Weak Passwords,Firewall,14.0
Russia,2018.0,Malware,Healthcare,40.66,90640.0,Unknown,Social Engineering,Encryption,56.0
Russia,2022.0,Ransomware,Retail,76.93,449596.0,Unknown,Unpatched Software,AI-based Detection,3.0
Australia,2020.0,Ransomware,Healthcare,58.91,207842.0,Nation-state,Social Engineering,Antivirus,40.0
Germany,2017.0,Phishing,Retail,93.6,908249.0,Nation-state,Zero-day,AI-based Detection,53.0
Japan,2017.0,Phishing,Healthcare,47.39,470895.0,Nation-state,Social Engineering,Encryption,63.0
France,2017.0,Malware,Education,3.21,342049.0,Nation-state,Unpatched Software,AI-based Detection,31.0
Brazil,2018.0,Phishing,Banking,98.75,316891.0,Hacker Group,Social Engineering,Antivirus,55.0
India,2019.0,Man-in-the-Middle,Education,27.45,633466.0,Unknown,Zero-day,AI-based Detection,16.0
USA,2023.0,Malware,Telecommunications,23.98,123866.0,Nation-state,Zero-day,Firewall,43.0
France,2017.0,DDoS,Telecommunications,79.93,305905.0,Unknown,Unpatched Software,Encryption,44.0
Russia,2023.0,SQL Injection,Telecommunications,3.66,702942.0,Nation-state,Unpatched Software,AI-based Detection,34.0
